index,ssn,credit_card_number, limit, expiration_date, cvc
0,112233445,4234567890125158,1000,12/2023,124
1,123412345,4234567890126803,900,12/2023,168
2,123456345,4234567890125421,1234,12/2023,193
3,123456987,4234567890126001,123,12/2023,127
4,123412347,4234567890126042,235,12/2023,181
5,123456782,4234567890125583,2,12/2023,178
6,122112214,4234567890126662,450,12/2023,153
7,454545789,4234567890126470,200,12/2023,124
8,456789125,4234567890126131,1000,12/2023,212
9,888888886,4234567890126711,3000,12/2023,198
